"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.53","48.57","MALAHAT","1014820","2023-04-02","2023","04","02","","7.2","","-0.6","","3.3","","14.7","","0.0","","","","","","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-03","2023","04","03","","7.8","","-0.7","","3.6","","14.4","","0.0","","","","","","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-04","2023","04","04","","7.1","","0.0","","3.6","","14.4","","0.0","","","","","","","M","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-05","2023","04","05","","8.0","","1.4","","4.7","","13.3","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-06","2023","04","06","","8.3","","4.3","","6.3","","11.7","","0.0","","","","","","1.2","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-07","2023","04","07","","12.9","","5.4","","9.1","","8.9","","0.0","","","","","","0.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-08","2023","04","08","","6.7","","4.0","","5.3","","12.7","","0.0","","","","","","2.4","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-09","2023","04","09","","10.5","","4.8","","7.7","","10.3","","0.0","","","","","","9.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-10","2023","04","10","","8.1","","3.6","","5.8","","12.2","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-11","2023","04","11","","7.7","","1.6","","4.7","","13.3","","0.0","","","","","","1.6","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-12","2023","04","12","","11.2","","2.2","","6.7","","11.3","","0.0","","","","","","0.0","","","","","M","","M"
"-123.53","48.57","MALAHAT","1014820","2023-04-13","2023","04","13","","7.7","","1.3","","4.5","","13.5","","0.0","","","","","","1.6","","","","","M","","M"
